"","LSOA21CD","senior_index","child_index","adult_index","over_66","children","female_perc","white_perc","disabled_perc"
"1","E01006512",0.5,1,1,0.0648148148148148,0.107407407407407,53,69.5,13.7
"2","E01006514",0.666666666666667,0.75,1,0.139896373056995,0.0816062176165803,52.6,76.9,20.7
"3","E01006518",0.5,1,0.8,0.186274509803922,0.235294117647059,51.5,67.9,31
"4","E01006519",0.5,0.75,0.4,0.279158699808795,0.286806883365201,50.1,94.1,15.3
"5","E01006520",0.833333333333333,1,0.8,0.16351606805293,0.0699432892249527,46.1,87.5,21.9
"6","E01006521",0.166666666666667,0.75,0.6,0.272930648769575,0.129753914988814,52,83.9,24.5
"7","E01006522",0.833333333333333,1,0.8,0.0794117647058823,0.0784313725490196,45.7,86.2,23.4
"8","E01006523",0.833333333333333,1,0.8,0.163366336633663,0.138613861386139,47.8,86.6,26.3
"9","E01006524",0.166666666666667,0.5,0.8,0.2890625,0.1796875,52.1,84.3,21.8
"10","E01006525",0.5,0.75,0.8,0.290254237288136,0.324152542372881,52.5,90.5,17.4
"11","E01006526",0.166666666666667,1,0.2,0.204724409448819,0.237795275590551,52.2,92.7,20.3
"12","E01006527",0.333333333333333,0.75,0.2,0.26040061633282,0.243451463790447,51.6,90.6,22.3
"13","E01006528",0.5,0.75,0.6,0.141608391608392,0.284965034965035,49.1,82.9,17.3
"14","E01006529",0.333333333333333,0.75,0.2,0.174074074074074,0.3,49.4,88.1,16
"15","E01006530",0.333333333333333,0.75,0.8,0.311258278145695,0.264900662251656,54.2,95.1,16.6
"16","E01006531",0.333333333333333,0.25,0.8,0.40763358778626,0.221374045801527,53.5,98.1,19.1
"17","E01006532",0.333333333333333,0.25,0.2,0.345218800648298,0.262560777957861,50.5,88.1,15.4
"18","E01006533",0.166666666666667,0.5,1,0.308080808080808,0.235690235690236,50.7,89.3,21.4
"19","E01006534",0.333333333333333,0,0.4,0.160213618157543,0.325767690253672,50.5,78.8,17.8
"20","E01006535",0.333333333333333,1,0.4,0.182795698924731,0.262672811059908,51.9,91.7,26.1
"21","E01006536",0.5,1,0.6,0.216687422166874,0.261519302615193,51.9,89.1,25.3
"22","E01006537",0.833333333333333,0.25,0.8,0.143250688705234,0.315886134067952,50,89.3,16.2
"23","E01006538",0.333333333333333,0.5,0.8,0.263671875,0.2734375,50.8,95,18
"24","E01006539",0.333333333333333,1,0.8,0.345826235093697,0.224872231686542,50.2,90.5,16.8
"25","E01006540",0.333333333333333,0.75,0.4,0.122828784119107,0.32258064516129,49.2,72.8,26.1
"26","E01006541",0.166666666666667,0.5,0.6,0.216710182767624,0.210182767624021,50.1,94,26.4
"27","E01006542",0.5,0.75,0.8,0.103918228279387,0.315161839863714,50.7,85.8,25.6
"28","E01006543",0.5,0.75,0.6,0.244,0.214,51.6,97.5,19.3
"29","E01006544",0.166666666666667,0.75,0.4,0.158774373259053,0.324512534818941,55.4,91,27.9
"30","E01006545",0.333333333333333,0.75,0.6,0.142140468227425,0.341137123745819,51.6,90.4,21.1
"31","E01006546",0.666666666666667,0.75,0.8,0.115646258503401,0.268707482993197,49.6,86.4,21.3
"32","E01006547",0.666666666666667,1,0.8,0.118120805369128,0.277852348993289,49,73.6,19.8
"33","E01006548",0.5,0.75,0.6,0.128947368421053,0.307894736842105,50.8,68.1,23.5
"34","E01006549",0.5,1,0.8,0.0914948453608247,0.110824742268041,45.9,74.1,19.5
"35","E01006550",0.666666666666667,1,0.6,0.0881763527054108,0.142284569138277,51.3,85.5,14.3
"36","E01006551",0.666666666666667,1,0.8,0.338383838383838,0.0782828282828283,54.9,80.2,35
"37","E01006552",0.5,0.5,0.4,0.0809399477806789,0.351174934725849,48.8,40.2,18.6
"38","E01006553",0.666666666666667,1,0.8,0.0924214417744917,0.236598890942699,52.4,83.5,16.1
"39","E01006554",0.666666666666667,1,0.6,0.124006359300477,0.136724960254372,53.7,80.6,17.6
"40","E01006556",0.5,0.75,0.4,0.105389221556886,0.304191616766467,49.2,39.6,21.1
"41","E01006557",0.666666666666667,0.75,0.6,0.0857632933104631,0.133790737564322,54.9,80,15
"42","E01006558",0.833333333333333,1,0.8,0.107843137254902,0.282679738562091,50.6,84.7,24.5
"43","E01006560",0.833333333333333,0.75,0.8,0.193446088794926,0.251585623678647,50.2,84,31.7
"44","E01006562",0.833333333333333,1,0.8,0.146762589928058,0.294964028776978,50.7,78.8,27.8
"45","E01006563",0.666666666666667,1,0.8,0.253986332574032,0.209567198177677,48,78.5,33.1
"46","E01006564",0.666666666666667,1,0.8,0.290115532734275,0.223363286264442,50.5,85,26.8
"47","E01006565",0.833333333333333,1,0.8,0.219551282051282,0.288461538461538,53.6,91.8,24.9
"48","E01006566",0.833333333333333,0.75,0.8,0.231418918918919,0.248310810810811,51.6,91.1,23.4
"49","E01006567",0.333333333333333,0.75,0.8,0.295454545454545,0.180681818181818,49.6,90.9,30.7
"50","E01006568",0.666666666666667,0.5,0.6,0.192556634304207,0.286407766990291,53.3,94.7,23.8
"51","E01006569",0.833333333333333,1,0.8,0.214876033057851,0.28099173553719,53.4,94.8,23.9
"52","E01006570",0.333333333333333,0.5,0.6,0.276206322795341,0.266222961730449,51.2,90.8,19.1
"53","E01006571",0.666666666666667,0.75,0.6,0.210873146622735,0.276771004942339,53.7,91.7,28.4
"54","E01006572",0.666666666666667,0.75,0.6,0.162011173184358,0.366852886405959,53.8,91.9,26
"55","E01006573",0.833333333333333,1,0.8,0.260347129506008,0.192256341789052,52.4,89.3,26.9
"56","E01006574",0.5,0.75,0.6,0.23696682464455,0.265402843601896,51.7,94.8,24.9
"57","E01006575",0.166666666666667,1,0.8,0.212230215827338,0.285971223021583,51.7,91.1,23.9
"58","E01006576",0.166666666666667,0.75,0.6,0.212328767123288,0.316438356164384,50.7,91.7,16.5
"59","E01006577",0.166666666666667,0.75,0.4,0.220338983050847,0.315254237288136,50.8,90.9,15.8
"60","E01006578",0.5,0.75,0.4,0.198515769944341,0.332096474953618,52.5,94.5,15.8
"61","E01006579",0.5,0.5,0.4,0.257956448911223,0.304857621440536,51.1,91.5,15.2
"62","E01006580",0.5,0.75,0.6,0.279527559055118,0.318897637795276,51.4,91,14.6
"63","E01006581",0.5,0.75,0.4,0.251256281407035,0.318257956448911,51.7,93.4,14.6
"64","E01006582",0.5,0.75,0.6,0.239344262295082,0.342622950819672,50.8,88.7,13.3
"65","E01006583",0.5,0.75,0.6,0.296536796536797,0.33982683982684,55,93.6,13.9
"66","E01006584",0.333333333333333,0.75,0.8,0.246422893481717,0.249602543720191,51.9,94.5,17
"67","E01006585",0.333333333333333,1,0.8,0.167741935483871,0.251612903225806,49,86.6,26.9
"68","E01006586",0.333333333333333,1,0.4,0.204705882352941,0.203529411764706,50.3,84.1,21.9
"69","E01006587",0.166666666666667,0.75,0.6,0.198224852071006,0.226331360946746,50.4,83.5,20.1
"70","E01006588",0.5,0.75,0.8,0.171223021582734,0.244604316546763,52.8,83.9,18.4
"71","E01006589",0.5,0.75,0.8,0.252595155709343,0.27681660899654,50.1,88.5,17
"72","E01006590",0.666666666666667,1,0.8,0.138508371385084,0.254185692541857,49.5,89.1,19.8
"73","E01006591",0.833333333333333,0.5,0.8,0.1808,0.2976,53.4,86.4,14.1
"74","E01006592",0.666666666666667,0.5,0.8,0.313432835820896,0.270315091210614,53.4,90.5,15.8
"75","E01006593",0.833333333333333,0.75,0.8,0.105263157894737,0.308998302207131,51.6,84.5,13.9
"76","E01006594",0.166666666666667,0.75,0.6,0.338709677419355,0.245519713261649,49.7,87.1,14.5
"77","E01006595",0.833333333333333,0.75,0.8,0.226700251889169,0.277078085642317,53.6,88.9,17.7
"78","E01006596",0.833333333333333,0.5,0.8,0.241739130434783,0.300869565217391,50.4,87.8,16.8
"79","E01006597",0.833333333333333,0.75,0.8,0.293525179856115,0.267625899280576,53.8,89.7,17.1
"80","E01006598",0.5,0.5,0.4,0.167852062588905,0.418207681365576,57.7,89.8,24.6
"81","E01006599",0.333333333333333,0.75,0.4,0.0891364902506964,0.518105849582173,52.5,89.5,19.2
"82","E01006600",0.333333333333333,1,0.6,0.2,0.275862068965517,54.2,92.3,28.5
"83","E01006603",0.5,0.75,0.4,0.175787728026534,0.296849087893864,53.7,94.6,26.3
"84","E01006604",0.333333333333333,1,0.4,0.152209492635025,0.332242225859247,53.7,93.7,25.4
"85","E01006605",0.166666666666667,1,0.2,0.218978102189781,0.287591240875912,52.3,91.2,26.4
"86","E01006606",0.166666666666667,0.75,0.4,0.18887262079063,0.276720351390922,50.6,93.1,24.5
"87","E01006607",0.5,0.75,0.4,0.188767550702028,0.308892355694228,54.1,95,26.5
"88","E01006608",0.5,0.75,0.6,0.223506743737958,0.260115606936416,52.8,97.7,24.9
"89","E01006609",0.5,0.75,0.6,0.169172932330827,0.289473684210526,51.2,92.4,21.1
"90","E01006610",0.666666666666667,1,0.8,0.207547169811321,0.28011611030479,53.7,89.8,27.8
"91","E01006611",0.833333333333333,0.75,0.8,0.10233918128655,0.271929824561404,51.1,86.9,26.1
"92","E01006612",0.5,0.5,0.4,0.230014025245442,0.242636746143057,53.7,95.1,29.5
"93","E01006613",0.5,0.75,0.6,0.270764119601329,0.20265780730897,49.9,95.6,29.5
"94","E01006614",0.666666666666667,0.5,0.8,0.172661870503597,0.248201438848921,50.9,92.6,26
"95","E01006615",0.833333333333333,0.75,0.8,0.164005805515239,0.272859216255443,51.5,93,26.3
"96","E01006616",0.5,0.75,0.4,0.254545454545455,0.246280991735537,50.2,96.1,26.7
"97","E01006617",0.333333333333333,0.75,0.2,0.216450216450216,0.227994227994228,54,93.8,20.5
"98","E01006618",0.333333333333333,1,0.2,0.244956772334294,0.286743515850144,53.6,94.8,27.1
"99","E01006619",0.166666666666667,0.75,0.2,0.225641025641026,0.284615384615385,52.9,96.8,18.3
"100","E01006620",0.166666666666667,0.75,0.4,0.3504,0.2336,51.6,95,22.9
"101","E01006621",0.333333333333333,0.75,0.8,0.294930875576037,0.258064516129032,51,92,17.1
"102","E01006622",0.333333333333333,0.5,0.2,0.264505119453925,0.303754266211604,50.4,96.1,15.6
"103","E01006623",0.166666666666667,0.75,0.6,0.314779270633397,0.216890595009597,50.8,88.2,18.6
"104","E01006624",0.5,0.25,0.6,0.231311706629055,0.258110014104372,51.6,89.1,25.3
"105","E01006625",0.166666666666667,1,0.4,0.306425041186161,0.237232289950577,50.4,96.6,21.7
