,FID,LSOA21CD,GlobalID,OBJECTID,LAD22CD,LAD22NM,BNG_E,BNG_N,LONG,LAT,GlobalID.1,geometry,100_schools,200_schools,300_schools,400_schools,500_schools,600_schools,700_schools,800_schools,900_schools,1000_schools,1100_schools,1200_schools,1300_schools,1400_schools,1500_schools,100_cinemas,200_cinemas,300_cinemas,400_cinemas,500_cinemas,600_cinemas,700_cinemas,800_cinemas,900_cinemas,1000_cinemas,1100_cinemas,1200_cinemas,1300_cinemas,1400_cinemas,1500_cinemas,100_atm,200_atm,300_atm,400_atm,500_atm,600_atm,700_atm,800_atm,900_atm,1000_atm,1100_atm,1200_atm,1300_atm,1400_atm,1500_atm,100_supermarket,200_supermarket,300_supermarket,400_supermarket,500_supermarket,600_supermarket,700_supermarket,800_supermarket,900_supermarket,1000_supermarket,1100_supermarket,1200_supermarket,1300_supermarket,1400_supermarket,1500_supermarket,100_pharmacies,200_pharmacies,300_pharmacies,400_pharmacies,500_pharmacies,600_pharmacies,700_pharmacies,800_pharmacies,900_pharmacies,1000_pharmacies,1100_pharmacies,1200_pharmacies,1300_pharmacies,1400_pharmacies,1500_pharmacies,100_gyms,200_gyms,300_gyms,400_gyms,500_gyms,600_gyms,700_gyms,800_gyms,900_gyms,1000_gyms,1100_gyms,1200_gyms,1300_gyms,1400_gyms,1500_gyms,100_park,200_park,300_park,400_park,500_park,600_park,700_park,800_park,900_park,1000_park,1100_park,1200_park,1300_park,1400_park,1500_park
0,13581,E01006745,d6c18067-7d15-4017-8b45-8074a789aa80,252,E08000012,Liverpool,339361,390553,-2.91364,53.4083,9d4b2ea6-7ad6-4e9b-9c17-207627542c66,POINT (-2.898789904778171 53.35572392745729),0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,13614,E01006583,17699269-164a-4b0f-a435-6780c10ccb75,252,E08000012,Liverpool,339361,390553,-2.91364,53.4083,9d4b2ea6-7ad6-4e9b-9c17-207627542c66,POINT (-2.887833480999674 53.39106800100298),0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
2,13671,E01006755,ab3177e6-a285-4bfe-9825-a75fe49f6eb1,252,E08000012,Liverpool,339361,390553,-2.91364,53.4083,9d4b2ea6-7ad6-4e9b-9c17-207627542c66,POINT (-2.836870518796305 53.342312619975864),0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
3,13683,E01006521,d5d9dcd8-61e9-4923-a3b0-2fa5e36337a6,252,E08000012,Liverpool,339361,390553,-2.91364,53.4083,9d4b2ea6-7ad6-4e9b-9c17-207627542c66,POINT (-2.935304950458678 53.37469606784528),0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,13704,E01034411,e0a767c8-2870-41a9-8970-4fc85c126c66,252,E08000012,Liverpool,339361,390553,-2.91364,53.4083,9d4b2ea6-7ad6-4e9b-9c17-207627542c66,POINT (-2.993549786422691 53.405764903027546),0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
5,13729,E01006743,71d71412-347a-445b-8b9e-bfd6544f2251,252,E08000012,Liverpool,339361,390553,-2.91364,53.4083,9d4b2ea6-7ad6-4e9b-9c17-207627542c66,POINT (-2.888232164268924 53.35234340620976),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,13755,E01006660,f16238ad-f743-40b5-b8ab-ee82fced7fbb,252,E08000012,Liverpool,339361,390553,-2.91364,53.4083,9d4b2ea6-7ad6-4e9b-9c17-207627542c66,POINT (-2.925209950499099 53.46393704680666),0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,13775,E01033751,0a43771a-8415-4099-938e-82fd1c15ffa4,252,E08000012,Liverpool,339361,390553,-2.91364,53.4083,9d4b2ea6-7ad6-4e9b-9c17-207627542c66,POINT (-2.989265509143701 53.41387994689114),0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
8,13789,E01006541,cc45e5a5-6bb8-42a0-948c-250617057b92,252,E08000012,Liverpool,339361,390553,-2.91364,53.4083,9d4b2ea6-7ad6-4e9b-9c17-207627542c66,POINT (-2.951204732417514 53.43655036010224),0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,13811,E01006531,09fddb85-87f8-4d07-8137-47b8452092eb,252,E08000012,Liverpool,339361,390553,-2.91364,53.4083,9d4b2ea6-7ad6-4e9b-9c17-207627542c66,POINT (-2.858659224336816 53.367074883012556),0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
