,index,0
0,100_schools,39
1,100_cinemas,0
2,100_atm,5
3,100_supermarket,9
4,100_pharmacies,4
5,100_gyms,2
6,100_park,44
7,200_schools,122
8,200_cinemas,3
9,200_atm,19
10,200_supermarket,30
11,200_pharmacies,20
12,200_gyms,9
13,200_park,105
14,300_schools,196
15,300_cinemas,4
16,300_atm,36
17,300_supermarket,61
18,300_pharmacies,54
19,300_gyms,17
20,300_park,164
21,400_schools,255
22,400_cinemas,5
23,400_atm,53
24,400_supermarket,91
25,400_pharmacies,79
26,400_gyms,30
27,400_park,220
28,500_schools,282
29,500_cinemas,9
30,500_atm,75
31,500_supermarket,133
32,500_pharmacies,102
33,500_gyms,48
34,500_park,249
35,600_schools,291
36,600_cinemas,14
37,600_atm,105
38,600_supermarket,162
39,600_pharmacies,143
40,600_gyms,67
41,600_park,269
42,700_schools,297
43,700_cinemas,20
44,700_atm,127
45,700_supermarket,186
46,700_pharmacies,162
47,700_gyms,77
48,700_park,285
49,800_schools,299
50,800_cinemas,26
51,800_atm,146
52,800_supermarket,216
53,800_pharmacies,181
54,800_gyms,93
55,800_park,292
56,900_schools,301
57,900_cinemas,30
58,900_atm,158
59,900_supermarket,232
60,900_pharmacies,199
61,900_gyms,106
62,900_park,296
63,1000_schools,301
64,1000_cinemas,34
65,1000_atm,177
66,1000_supermarket,255
67,1000_pharmacies,217
68,1000_gyms,124
69,1000_park,298
70,1100_schools,302
71,1100_cinemas,40
72,1100_atm,193
73,1100_supermarket,263
74,1100_pharmacies,227
75,1100_gyms,149
76,1100_park,300
77,1200_schools,302
78,1200_cinemas,44
79,1200_atm,207
80,1200_supermarket,271
81,1200_pharmacies,242
82,1200_gyms,173
83,1200_park,300
84,1300_schools,302
85,1300_cinemas,53
86,1300_atm,221
87,1300_supermarket,283
88,1300_pharmacies,251
89,1300_gyms,188
90,1300_park,301
91,1400_schools,302
92,1400_cinemas,58
93,1400_atm,233
94,1400_supermarket,289
95,1400_pharmacies,265
96,1400_gyms,196
97,1400_park,302
98,1500_schools,302
99,1500_cinemas,66
100,1500_atm,238
101,1500_supermarket,296
102,1500_pharmacies,270
103,1500_gyms,211
104,1500_park,302
