,index,0
0,100_schools,39
1,100_pitches,20
2,100_playgrounds,6
3,100_supermarket,9
4,100_park,44
5,200_schools,122
6,200_pitches,68
7,200_playgrounds,26
8,200_supermarket,30
9,200_park,105
10,300_schools,196
11,300_pitches,136
12,300_playgrounds,66
13,300_supermarket,61
14,300_park,164
15,400_schools,255
16,400_pitches,204
17,400_playgrounds,99
18,400_supermarket,91
19,400_park,220
20,500_schools,282
21,500_pitches,238
22,500_playgrounds,126
23,500_supermarket,133
24,500_park,249
25,600_schools,291
26,600_pitches,265
27,600_playgrounds,164
28,600_supermarket,162
29,600_park,269
30,700_schools,297
31,700_pitches,277
32,700_playgrounds,199
33,700_supermarket,186
34,700_park,285
35,800_schools,299
36,800_pitches,285
37,800_playgrounds,219
38,800_supermarket,216
39,800_park,292
40,900_schools,301
41,900_pitches,291
42,900_playgrounds,242
43,900_supermarket,232
44,900_park,296
45,1000_schools,301
46,1000_pitches,299
47,1000_playgrounds,253
48,1000_supermarket,255
49,1000_park,298
50,1100_schools,302
51,1100_pitches,300
52,1100_playgrounds,267
53,1100_supermarket,263
54,1100_park,300
55,1200_schools,302
56,1200_pitches,301
57,1200_playgrounds,275
58,1200_supermarket,271
59,1200_park,300
60,1300_schools,302
61,1300_pitches,301
62,1300_playgrounds,283
63,1300_supermarket,283
64,1300_park,301
65,1400_schools,302
66,1400_pitches,302
67,1400_playgrounds,292
68,1400_supermarket,289
69,1400_park,302
70,1500_schools,302
71,1500_pitches,302
72,1500_playgrounds,298
73,1500_supermarket,296
74,1500_park,302
