LSOA21CD,schools,supermarkets,pharmacies,atms,parks,cinemas,gyms,score,score_norm
E01006512,17.0,8.0,5.0,9.0,21.0,1.0,0.0,6.0,1.0
E01006514,14.0,12.0,4.0,23.0,17.0,1.0,0.0,6.0,1.0
E01006518,11.0,7.0,2.0,4.0,12.0,0.0,0.0,5.0,0.75
E01006519,5.0,0.0,2.0,2.0,5.0,0.0,0.0,4.0,0.5
E01006520,14.0,5.0,3.0,2.0,8.0,0.0,0.0,5.0,0.75
E01006521,11.0,3.0,0.0,3.0,5.0,0.0,0.0,4.0,0.5
E01006522,13.0,5.0,3.0,2.0,7.0,0.0,0.0,5.0,0.75
E01006523,13.0,3.0,2.0,2.0,7.0,0.0,0.0,5.0,0.75
E01006524,11.0,1.0,3.0,3.0,7.0,0.0,0.0,5.0,0.75
E01006525,14.0,1.0,2.0,2.0,6.0,0.0,0.0,5.0,0.75
E01006526,10.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,0.25
E01006527,7.0,0.0,0.0,2.0,4.0,0.0,0.0,3.0,0.25
E01006528,8.0,3.0,0.0,2.0,6.0,0.0,0.0,4.0,0.5
E01006529,8.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,0.25
E01006530,6.0,3.0,1.0,2.0,10.0,1.0,0.0,6.0,1.0
E01006531,7.0,4.0,2.0,4.0,9.0,1.0,0.0,6.0,1.0
E01006532,7.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,0.25
E01006533,5.0,4.0,2.0,4.0,6.0,1.0,0.0,6.0,1.0
E01006534,9.0,0.0,4.0,2.0,4.0,0.0,0.0,4.0,0.5
E01006535,5.0,0.0,2.0,1.0,4.0,0.0,0.0,4.0,0.5
E01006536,7.0,2.0,3.0,1.0,5.0,0.0,0.0,5.0,0.75
E01006537,3.0,4.0,1.0,2.0,1.0,0.0,0.0,5.0,0.75
E01006538,5.0,3.0,2.0,2.0,5.0,0.0,0.0,5.0,0.75
E01006539,8.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,0.75
E01006540,12.0,2.0,3.0,0.0,8.0,0.0,0.0,4.0,0.5
E01006541,7.0,1.0,1.0,1.0,5.0,0.0,0.0,5.0,0.75
E01006542,13.0,3.0,4.0,2.0,10.0,0.0,0.0,5.0,0.75
E01006543,8.0,1.0,1.0,1.0,6.0,0.0,0.0,5.0,0.75
E01006544,7.0,0.0,1.0,1.0,8.0,0.0,0.0,4.0,0.5
E01006545,8.0,1.0,3.0,1.0,8.0,0.0,0.0,5.0,0.75
E01006546,12.0,2.0,3.0,1.0,9.0,0.0,0.0,5.0,0.75
E01006547,13.0,2.0,3.0,1.0,11.0,0.0,0.0,5.0,0.75
E01006548,13.0,2.0,3.0,1.0,12.0,0.0,0.0,5.0,0.75
E01006549,14.0,4.0,7.0,1.0,8.0,0.0,0.0,5.0,0.75
E01006550,14.0,3.0,5.0,2.0,8.0,0.0,0.0,5.0,0.75
