LSOA21CD,schools,parks,playgrounds,pitches,score,score_norm
E01006512,1.0,7.0,1.0,6.0,4.0,1.0
E01006514,2.0,4.0,0.0,1.0,3.0,0.75
E01006518,3.0,5.0,1.0,6.0,4.0,1.0
E01006519,3.0,2.0,0.0,10.0,3.0,0.75
E01006520,4.0,2.0,4.0,4.0,4.0,1.0
E01006521,0.0,2.0,1.0,1.0,3.0,0.75
E01006522,3.0,2.0,1.0,3.0,4.0,1.0
E01006523,4.0,1.0,1.0,2.0,4.0,1.0
E01006524,5.0,0.0,0.0,10.0,2.0,0.5
E01006525,1.0,1.0,0.0,13.0,3.0,0.75
E01006526,1.0,1.0,1.0,1.0,4.0,1.0
E01006527,4.0,2.0,0.0,4.0,3.0,0.75
E01006528,1.0,3.0,0.0,1.0,3.0,0.75
E01006529,4.0,3.0,0.0,4.0,3.0,0.75
E01006530,1.0,1.0,1.0,0.0,3.0,0.75
E01006531,0.0,0.0,0.0,1.0,1.0,0.25
E01006532,0.0,1.0,0.0,0.0,1.0,0.25
E01006533,1.0,0.0,0.0,1.0,2.0,0.5
E01006534,0.0,0.0,0.0,0.0,0.0,0.0
E01006535,1.0,1.0,1.0,3.0,4.0,1.0
E01006536,1.0,1.0,1.0,4.0,4.0,1.0
E01006537,1.0,0.0,0.0,0.0,1.0,0.25
E01006538,1.0,1.0,0.0,0.0,2.0,0.5
E01006539,1.0,1.0,2.0,5.0,4.0,1.0
E01006540,1.0,3.0,0.0,7.0,3.0,0.75
E01006541,1.0,2.0,0.0,0.0,2.0,0.5
E01006542,3.0,2.0,0.0,1.0,3.0,0.75
E01006543,1.0,1.0,0.0,8.0,3.0,0.75
E01006544,3.0,2.0,0.0,5.0,3.0,0.75
E01006545,4.0,2.0,0.0,1.0,3.0,0.75
E01006546,2.0,2.0,0.0,1.0,3.0,0.75
E01006547,2.0,1.0,1.0,2.0,4.0,1.0
E01006548,3.0,1.0,0.0,5.0,3.0,0.75
E01006549,3.0,3.0,1.0,2.0,4.0,1.0
E01006550,2.0,4.0,1.0,4.0,4.0,1.0
E01006551,1.0,3.0,1.0,3.0,4.0,1.0
E01006552,1.0,0.0,0.0,1.0,2.0,0.5
E01006553,4.0,5.0,1.0,6.0,4.0,1.0
E01006554,2.0,2.0,1.0,3.0,4.0,1.0
E01006556,2.0,2.0,0.0,3.0,3.0,0.75
E01006557,1.0,3.0,0.0,4.0,3.0,0.75
E01006558,1.0,3.0,1.0,1.0,4.0,1.0
E01006560,5.0,4.0,0.0,5.0,3.0,0.75
E01006562,4.0,3.0,1.0,3.0,4.0,1.0
E01006563,3.0,3.0,1.0,2.0,4.0,1.0
E01006564,4.0,6.0,1.0,7.0,4.0,1.0
E01006565,2.0,1.0,3.0,4.0,4.0,1.0
E01006566,5.0,0.0,4.0,4.0,3.0,0.75
E01006567,2.0,2.0,0.0,7.0,3.0,0.75
E01006568,4.0,0.0,0.0,1.0,2.0,0.5
E01006569,1.0,2.0,2.0,9.0,4.0,1.0
E01006570,4.0,0.0,0.0,2.0,2.0,0.5
E01006571,3.0,2.0,2.0,0.0,3.0,0.75
E01006572,3.0,1.0,5.0,0.0,3.0,0.75
E01006573,5.0,1.0,3.0,5.0,4.0,1.0
E01006574,4.0,1.0,3.0,0.0,3.0,0.75
E01006575,1.0,1.0,1.0,6.0,4.0,1.0
E01006576,1.0,1.0,0.0,2.0,3.0,0.75
E01006577,3.0,2.0,0.0,8.0,3.0,0.75
E01006578,1.0,2.0,0.0,1.0,3.0,0.75
E01006579,3.0,0.0,0.0,1.0,2.0,0.5
E01006580,2.0,3.0,0.0,1.0,3.0,0.75
E01006581,2.0,1.0,0.0,3.0,3.0,0.75
E01006582,2.0,1.0,0.0,12.0,3.0,0.75
E01006583,1.0,1.0,0.0,2.0,3.0,0.75
E01006584,1.0,0.0,1.0,1.0,3.0,0.75
E01006585,1.0,1.0,1.0,3.0,4.0,1.0
E01006586,2.0,6.0,1.0,4.0,4.0,1.0
E01006587,0.0,2.0,1.0,2.0,3.0,0.75
E01006588,3.0,1.0,0.0,2.0,3.0,0.75
E01006589,5.0,3.0,0.0,8.0,3.0,0.75
E01006590,2.0,4.0,1.0,4.0,4.0,1.0
E01006591,2.0,1.0,0.0,0.0,2.0,0.5
E01006592,1.0,0.0,0.0,3.0,2.0,0.5
E01006593,3.0,2.0,0.0,3.0,3.0,0.75
E01006594,3.0,1.0,0.0,5.0,3.0,0.75
E01006595,6.0,1.0,0.0,6.0,3.0,0.75
E01006596,2.0,1.0,0.0,0.0,2.0,0.5
E01006597,3.0,1.0,0.0,5.0,3.0,0.75
E01006598,4.0,0.0,3.0,0.0,2.0,0.5
E01006599,4.0,1.0,4.0,0.0,3.0,0.75
E01006600,2.0,1.0,2.0,3.0,4.0,1.0
E01006603,1.0,2.0,0.0,8.0,3.0,0.75
E01006604,1.0,2.0,2.0,2.0,4.0,1.0
E01006605,1.0,2.0,1.0,4.0,4.0,1.0
E01006606,2.0,2.0,0.0,12.0,3.0,0.75
E01006607,1.0,1.0,0.0,9.0,3.0,0.75
E01006608,1.0,3.0,0.0,8.0,3.0,0.75
E01006609,1.0,1.0,0.0,7.0,3.0,0.75
E01006610,4.0,1.0,1.0,2.0,4.0,1.0
E01006611,5.0,1.0,0.0,2.0,3.0,0.75
E01006612,1.0,2.0,0.0,0.0,2.0,0.5
E01006613,1.0,1.0,0.0,8.0,3.0,0.75
E01006614,5.0,0.0,0.0,1.0,2.0,0.5
E01006615,3.0,1.0,0.0,2.0,3.0,0.75
