LSOA21CD,schools,supermarkets,pharmacies,atms,parks,cinemas,gyms,score,score_norm
E01006512,9.0,4.0,0.0,6.0,13.0,0.0,0.0,4.0,0.75
E01006514,8.0,5.0,0.0,9.0,14.0,1.0,0.0,5.0,1.0
E01006518,5.0,2.0,1.0,0.0,6.0,0.0,0.0,4.0,0.75
E01006519,4.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,0.75
E01006520,10.0,4.0,2.0,2.0,3.0,0.0,0.0,5.0,1.0
E01006521,5.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.25
E01006522,8.0,3.0,2.0,2.0,3.0,0.0,0.0,5.0,1.0
E01006523,5.0,3.0,1.0,2.0,3.0,0.0,0.0,5.0,1.0
E01006524,6.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.25
E01006525,5.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.75
E01006526,6.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.25
E01006527,4.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.5
E01006528,3.0,2.0,0.0,2.0,4.0,0.0,0.0,4.0,0.75
E01006529,4.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.5
E01006530,3.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.5
E01006531,3.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.5
E01006532,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.5
E01006533,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.25
E01006534,4.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.5
E01006535,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.5
E01006536,4.0,0.0,2.0,1.0,3.0,0.0,0.0,4.0,0.75
E01006537,1.0,3.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0
E01006538,3.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.5
E01006539,5.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.5
